Month,Year,Country,AvgTemperature
1,1995,Spain,47.54516129032258
1,1995,Sri Lanka,68.88064516129033
1,1995,Suriname,77.62903225806451
1,1995,Sweden,27.641935483870967
1,1995,Switzerland,32.84086021505376
1,1995,Syria,35.236666666666665
1,1995,Taiwan,60.8516129032258
1,1995,Tajikistan,30.458064516129035
1,1995,Tanzania,64.38709677419355
1,1995,Thailand,-99.0
1,1995,The Netherlands,39.57741935483871
1,1995,Togo,81.53870967741935
1,1995,Tunisia,51.82258064516129
1,1995,Turkey,38.78225806451613
1,1995,Turkmenistan,40.5516129032258
1,1995,US,36.44231854838709
1,1995,Uganda,18.46451612903226
1,1995,Ukraine,25.08709677419355
1,1995,United Arab Emirates,66.41774193548386
1,1995,United Kingdom,42.4741935483871
1,1995,Uruguay,71.19677419354838
1,1995,Uzbekistan,34.54838709677419
1,1995,Venezuela,77.68064516129031
1,1995,Vietnam,60.13225806451613
1,1995,Yugoslavia,32.08064516129032
1,1995,Zambia,74.30645161290323
1,1996,Albania,-99.0
1,1996,Algeria,57.37096774193548
1,1996,Argentina,74.85483870967742
1,1996,Australia,70.6858064516129
1,1996,Austria,26.299999999999997
1,1996,Bahamas,69.01290322580645
1,1996,Bahrain,62.36774193548387
1,1996,Bangladesh,27.861290322580643
1,1996,Barbados,50.55806451612903
1,1996,Belarus,14.619354838709677
1,1996,Belgium,35.167741935483875
1,1996,Belize,74.67096774193548
1,1996,Benin,82.57741935483871
1,1996,Bermuda,63.89032258064516
1,1996,Bolivia,46.08709677419355
1,1996,Brazil,77.33870967741936
1,1996,Bulgaria,-99.0
1,1996,Burundi,27.20967741935484
1,1996,Canada,10.236129032258065
1,1996,Central African Republic,-64.68387096774194
1,1996,China,35.52516129032258
1,1996,Colombia,52.458064516129035
1,1996,Congo,49.00645161290323
1,1996,Costa Rica,50.63870967741936
1,1996,Croatia,-99.0
1,1996,Cuba,57.9483870967742
1,1996,Cyprus,-4.245161290322581
1,1996,Czech Republic,23.538709677419355
1,1996,Denmark,28.25483870967742
1,1996,Dominican Republic,30.799999999999997
1,1996,Egypt,57.49032258064516
1,1996,Equador,64.45645161290322
1,1996,Ethiopia,51.08709677419355
1,1996,Finland,21.116129032258065
1,1996,France,41.693548387096776
1,1996,Gabon,45.78709677419355
1,1996,Gambia,74.59677419354838
1,1996,Georgia,33.641935483870974
1,1996,Germany,-29.42258064516129
1,1996,Greece,48.89032258064516
1,1996,Guatemala,-88.63548387096773
1,1996,Guinea,57.29354838709677
1,1996,Guinea-Bissau,-34.670967741935485
1,1996,Guyana,-99.0
1,1996,Haiti,-99.0
1,1996,Honduras,55.906451612903226
1,1996,Hong Kong,64.76129032258065
1,1996,Hungary,27.183870967741935
1,1996,Iceland,36.03548387096774
1,1996,India,68.51854838709677
